Samples	Line	Treatment Time
sample28dexseq.counts	C1	ctl	5
sample44dexseq.counts	C1	ctl	5
sample59dexseq.counts	C1	ctl	5
sample25dexseq.counts	C1	par	5
sample46dexseq.counts	C1	par	5
sample58dexseq.counts	C1	par	5
sample19dexseq.counts	C1	ctl	50
sample33dexseq.counts	C1	ctl	50
sample79dexseq.counts	C1	ctl	50
sample18dexseq.counts	C1	par	50
sample38dexseq.counts	C1	par	50
sample76dexseq.counts	C1	par	50
sample16dexseq.counts	C2	ctl	5
sample49dexseq.counts	C2	ctl	5
sample68dexseq.counts	C2	ctl	5
sample9dexseq.counts	C2	par	5
sample54dexseq.counts	C2	par	5
sample67dexseq.counts	C2	par	5
sample27dexseq.counts	C2	ctl	50
sample45dexseq.counts	C2	ctl	50
sample74dexseq.counts	C2	ctl	50
sample26dexseq.counts	C2	par	50
sample47dexseq.counts	C2	par	50
sample80dexseq.counts	C2	par	50
sample2dexseq.counts	S1	ctl	5
sample43dexseq.counts	S1	ctl	5
sample72dexseq.counts	S1	ctl	5
sample1dexseq.counts	S1	par	5
sample42dexseq.counts	S1	par	5
sample70dexseq.counts	S1	par	5
sample10dexseq.counts	S1	ctl	50
sample37dexseq.counts	S1	ctl	50
sample62dexseq.counts	S1	ctl	50
sample12dexseq.counts	S1	par	50
sample39dexseq.counts	S1	par	50
sample63dexseq.counts	S1	par	50
sample22dexseq.counts	S2	ctl	5
sample34dexseq.counts	S2	ctl	5
sample61dexseq.counts	S2	ctl	5
sample20dexseq.counts	S2	par	5
sample36dexseq.counts	S2	par	5
sample64dexseq.counts	S2	par	5
sample8dexseq.counts	S2	ctl	50
sample52dexseq.counts	S2	ctl	50
sample65dexseq.counts	S2	ctl	50
sample4dexseq.counts	S2	par	50
sample53dexseq.counts	S2	par	50
sample69dexseq.counts	S2	par	50

