sample	line	treatment	time
sample1	melS1	par	5
sample2	melS1	ctl	5
sample3	sec	ctl	50
sample4	melS2	par	50
sample5	sim	ctl	50
sample6	sec	par	50
sample7	sim	par	50
sample8	melS2	ctl	50
sample9	melC2	par	5
sample10	melS1	ctl	50
sample11	yak	par	50
sample12	melS1	par	50
sample13	sim	par	5
sample14	yak	ctl	50
sample15	sim	ctl	5
sample16	melC2	ctl	5
sample17	yak	par	5
sample18	melC1	par	50
sample19	melC1	ctl	50
sample20	melS2	par	5
sample21	sec	ctl	5
sample22	melS2	ctl	5
sample23	sec	par	5
sample24	yak	ctl	5
sample25	melC1	par	5
sample26	melC2	par	50
sample27	melC2	ctl	50
sample28	melC1	ctl	5
sample29	sim	par	5
sample30	sec	ctl	5
sample31	sec	par	5
sample32	sim	ctl	5
sample33	melC1	ctl	50
sample34	melS2	ctl	5
sample35	sim	par	50
sample36	melS2	par	5
sample37	melS1	ctl	50
sample38	melC1	par	50
sample39	melS1	par	50
sample40	sim	ctl	50
sample41	yak	ctl	50
sample42	melS1	par	5
sample43	melS1	ctl	5
sample44	melC1	ctl	5
sample45	melC2	ctl	50
sample46	melC1	par	5
sample47	melC2	par	50
sample48	yak	par	50
sample49	melC2	ctl	5
sample50	yak	par	5
sample51	sec	ctl	50
sample52	melS2	ctl	50
sample53	melS2	par	50
sample54	melC2	par	5
sample55	yak	ctl	5
sample56	sec	par	50
sample57	sec	ctl	5
sample58	melC1	par	5
sample59	melC1	ctl	5
sample60	sec	par	5
sample61	melS2	ctl	5
sample62	melS1	ctl	50
sample63	melS1	par	50
sample64	melS2	par	5
sample65	melS2	ctl	50
sample66	yak	par	50
sample67	melC2	par	5
sample68	melC2	ctl	5
sample69	melS2	par	50
sample70	melS1	par	5
sample71	yak	ctl	50
sample72	melS1	ctl	5
sample73	sec	par	50
sample74	melC2	ctl	50
sample75	sim	par	5
sample76	melC1	par	50
sample77	sec	ctl	50
sample78	sim	ctl	5
sample79	melC1	ctl	50
sample80	melC2	par	50
sample81	sim	ctl	50
sample82	sim	par	50
sample83	yak	par	5
sample84	yak	ctl	5
