"FBgn_mel" "CG" "logFC" "FDR"
"3" "FBgn0034711" "CG3290" 2.36133614645424 0.0585226694803794
"5" "FBgn0041183" "Tep1" 3.11647509018505 0.00604934473948902
"6" "FBgn0034331" "CG15067" 5.16570189629273 0.00604934473948902
"7" "FBgn0012042" "AttA" 3.65494373847111 9.07031785790791e-07
"8" "FBgn0014865" "Mtk" 5.44551199735982 5.89070068751525e-13
"9" "FBgn0050091" "CG30091" 2.0855633573552 0.0512635818806561
"10" "FBgn0053462" "CG33462" 5.51887983977836 1.00863536153654e-05
"11" "FBgn0034407" "DptB" 5.07059958747955 1.09457688864603e-08
"12" "FBgn0034512" "CG18067" 3.67440266123671 1.21766329848181e-08
"13" "FBgn0043578" "PGRP-SB1" 2.83507457438013 2.58539845894457e-07
"14" "FBgn0001216" "Hsc70-1" 3.40727903523119 2.46315494514411e-06
"15" "FBgn0052185" "edin" 2.84847599385731 0.0203143438841012
"16" "FBgn0038299" "Spn88Eb" 2.2827312929647 0.00604934473948902
"17" "FBgn0042106" "CG18754" 3.70155173123722 0.00604934473948902
