"FBgn_mel" "CG" "logFC" "FDR"
"1" "FBgn0052500" "CG32500" 4.87327527222215 0.097262816756255
"2" "FBgn0028514" "CG4793" 6.52749439598481 0.000639619702230702
"3" "FBgn0032638" "SPH93" 6.17442037861306 1.14032658659353e-19
"4" "FBgn0041183" "Tep1" 5.94965241847416 0.0631250500400107
"5" "FBgn0033821" "CG10799" 3.93494915973939 0.0489136833634751
"6" "FBgn0041579" "AttC" 5.35257252175616 0.0597527313444113
"7" "FBgn0014865" "Mtk" 4.64855727336622 0.0489136833634751
"8" "FBgn0050091" "CG30091" 4.37363679673205 0.097262816756255
"9" "FBgn0053462" "CG33462" 6.52370845181434 0.097262816756255
"10" "FBgn0028396" "TotA" 9.51643687610352 1.2604393344302e-07
"11" "FBgn0001216" "Hsc70-1" 8.56679819814374 3.45225010088174e-05
"12" "FBgn0260477" "CG30283" 3.98534425541021 0.00311043303921044
"31" "FBgn0012042" "AttA" 5.95144868279559 0.0184334219984568
"51" "FBgn0034407" "DptB" 9.35882795389053 0.00311043303921044
"71" "FBgn0043578" "PGRP-SB1" 4.26805065323203 0.015301255269854
"13" "FBgn0034512" "CG18067" 6.66145404134731 0.00043090462619931
"32" "FBgn0042106" "CG18754" 8.38889712388011 0.0626719803481755
"15" "FBgn0027578" "CG14526" 2.43246507794086 0.0850402080176086
"33" "FBgn0010381" "Drs" 4.21276800676257 0.000467992556536386
"52" "FBgn0034711" "CG3290" 3.76816206123099 0.0541559246677182
"91" "FBgn0031471" "CG3117" 3.42708572097033 0.0850402080176086
"101" "FBgn0034331" "CG15067" 6.28899327030302 0.048982901698233
"111" "FBgn0033820" "CG4716" 4.62255922560051 0.00349417507684986
"14" "FBgn0010388" "Dro" 4.15996080437721 0.0217173254397962
"23" "FBgn0052185" "edin" 4.40138206487379 0.0100250762524734
"24" "FBgn0038299" "Spn88Eb" 3.23786068185744 0.00973416194916325
"27" "FBgn0028949" "CG15254" 6.00959600135604 0.0893293881937487
