"FB_sp"	"FB_mel"	"CG"	"logFC"	"FDR"
"FBgn0044200"	"FBgn0020416"	"Idgf1"	1.96005681282806	0.0328024585552848
"FBgn0067509"	"FBgn0041183"	"Tep1"	6.29239897089585	0.0387792852071313
"FBgn0181889"	"FBgn0033363"	"CG13744"	-2.35007281879518	0.00568644530735684
"FBgn0182647"	"FBgn0033732"	"CG13157"	-3.23442393112527	0.0378602591240089
"FBgn0182720"	"FBgn0033821"	"CG10799"	4.109969506308	0.00022721167476923
"FBgn0182723"	"FBgn0033827"	"CG17047"	-2.02090679172149	0.0315535259215539
"FBgn0183116"	"FBgn0040735"	"CG16836"	7.32641224531766	7.37318793070837e-10
"FBgn0183633"	"FBgn0035057"	"CG3880"	-2.95460623592399	0.00308086264119561
"FBgn0184122"	"FBgn0262531"	"CG43085"	7.0428429085972	1.06384219445371e-07
"FBgn0184771"	NA	NA	-5.48718333224745	2.75465494648244e-05
"FBgn0186126"	"FBgn0036349"	"SNCF"	-8.96814284375386	1.19688841159732e-10
"FBgn0187058"	"FBgn0003382"	"sha"	-4.19211879234401	7.37318793070837e-10
"FBgn0187651"	"FBgn0021742"	"C901"	-2.79267561643231	0.000216515048933265
"FBgn0188861"	"FBgn0039749"	"CG11498"	-2.22717803587837	0.00664525707017947
"FBgn0189459"	"FBgn0036836"	"CG11619"	-2.62349966328724	0.0315535259215539
"FBgn0190882"	"FBgn0028396"	"TotA"	5.38424814680444	3.03760003313033e-05
"FBgn0190884"	"FBgn0028396"	"TotA"	10.539828933192	4.16984099219246e-11
"FBgn0191505"	"FBgn0044810"	"TotX"	7.37117619188702	1.25071458656311e-12
"FBgn0191850"	"FBgn0038299"	"Spn88Eb"	3.99913509915958	0.0387792852071313
"FBgn0191915"	"FBgn0038211"	"CG9649"	1.74835034166529	0.0245291434573889
"FBgn0195377"	"FBgn0028514"	"CG4793"	5.22856475806686	0.0148516988826077
"FBgn0195387"	"FBgn0028514"	"CG4793"	5.37918644990674	1.84337747053514e-06
"FBgn0196500"	"FBgn0260477"	"CG30283"	4.21309423568749	0.000229681378001272
"FBgn0196575"	"FBgn0034530"	"Rcd6"	-1.45687522541749	0.0225520018656545
"FBgn0196767"	NA	NA	2.55616825904898	0.00930274185559158
"FBgn0262092"	"FBgn0037396"	"CG11459"	7.01509034445883	3.66845487990139e-13
"FBgn0268391"	NA	NA	4.29826793939237	0.030870653830097
"FBgn0269397"	NA	NA	-1.84821927090328	0.00664525707017947
"FBgn0269559"	NA	NA	2.6051999501408	3.03760003313033e-05
"FBgn0270704"	NA	NA	-3.61579646678086	0.00127241396144836
"FBgn0270820"	NA	NA	-3.43272763215305	0.00188457042330364
