"FB_mel"	"CG"	"logFC"	"FDR"
"FBgn0028514"	"CG4793"	6.52749439598481	0.000639619702230702
"FBgn0032638"	"SPH93"	6.17442037861306	1.14032658659353e-19
"FBgn0033821"	"CG10799"	3.93494915973939	0.0489136833634751
"FBgn0014865"	"Mtk"	4.64855727336622	0.0489136833634751
"FBgn0028396"	"TotA"	9.51643687610352	1.2604393344302e-07
"FBgn0001216"	"Hsc70-1"	8.56679819814374	3.45225010088174e-05
"FBgn0260477"	"CG30283"	3.98534425541021	0.00311043303921044
"FBgn0012042"	"AttA"	5.95144868279559	0.0184334219984568
"FBgn0034407"	"DptB"	9.35882795389053	0.00311043303921044
"FBgn0043578"	"PGRP-SB1"	4.26805065323203	0.015301255269854
"FBgn0036707"	"CG13724"	-7.57590999945851	0.00311043303921044
"FBgn0034512"	"CG18067"	6.66145404134731	0.00043090462619931
"FBgn0010381"	"Drs"	4.21276800676257	0.000467992556536386
"FBgn0041183"	"Tep1"	5.6871866035811	5.87327544372305e-05
"FBgn0034331"	"CG15067"	6.28899327030302	0.048982901698233
"FBgn0033820"	"CG4716"	4.62255922560051	0.00349417507684986
"FBgn0041579"	"AttC"	4.79528214826587	0.000537223780301042
"FBgn0010388"	"Dro"	4.15996080437721	0.0217173254397962
"FBgn0053462"	"CG33462"	5.97729963709726	0.00349417507684986
"FBgn0052185"	"edin"	4.40138206487379	0.0100250762524734
"FBgn0038299"	"Spn88Eb"	3.23786068185744	0.00973416194916325
"FBgn0052500"	"CG32500"	1.83741125390845	0.0267117794474584
"FBgn0262005"	"CG42823"	-2.12169020281621	0.0267117794474584
