"FB_mel"	"CG"	"logFC"	"FDR"
"FBgn0041183"	"Tep1"	3.11647509018505	0.00604934473948902
"FBgn0034331"	"CG15067"	5.16570189629273	0.00604934473948902
"FBgn0012042"	"AttA"	3.65494373847111	9.07031785790791e-07
"FBgn0014865"	"Mtk"	5.44551199735982	5.89070068751525e-13
"FBgn0053462"	"CG33462"	5.51887983977836	1.00863536153654e-05
"FBgn0034407"	"DptB"	5.07059958747955	1.09457688864603e-08
"FBgn0034512"	"CG18067"	3.67440266123671	1.21766329848181e-08
"FBgn0043578"	"PGRP-SB1"	2.83507457438013	2.58539845894457e-07
"FBgn0001216"	"Hsc70-1"	3.40727903523119	2.46315494514411e-06
"FBgn0052185"	"edin"	2.84847599385731	0.0203143438841012
"FBgn0038299"	"Spn88Eb"	2.2827312929647	0.00604934473948902
"FBgn0042106"	"CG18754"	3.70155173123722	0.00604934473948902
