FBgn_mel CG logFC FDR
FBgn0001216 Hsc70-1 1.60864527006297 0.011987519400959
FBgn0002930 nec 1.11315643091661 0.0097293822835734
FBgn0010381 Drs 4.14125979424903 0.0228163156987024
FBgn0010388 Dro 4.36981674560061 0.00218741668519675
FBgn0012042 AttA 5.22570942676056 0.0037882434843716
FBgn0014865 Mtk 7.01900238822903 3.86510434500269e-05
FBgn0025583 IM2 4.97412980940232 0.00501906551101254
FBgn0028396 TotA 8.37656195128454 1.29920857419058e-06
FBgn0028514 CG4793 6.24098806245261 0.000103923587920057
FBgn0031470 CG18557 4.69651263404059 7.56105278110337e-06
FBgn0031471 CG3117 5.31199876153278 2.1422863073339e-05
FBgn0032638 SPH93 4.86389890107742 0.00103067634790771
FBgn0032639 CG18563 3.16848929840524 6.16903374278332e-05
FBgn0033820 CG4716 5.08218874778336 0.0040872333362954
FBgn0033821 CG10799 3.95264179087778 0.000247328749469875
FBgn0034221 CG10764 3.2079859243478 0.000862107632426635
FBgn0034328 IM23 7.05024486601341 0.00241549361764065
FBgn0034329 IM1 6.11737867746826 0.000302527868307261
FBgn0034331 CG15067 5.89973108375261 0.011406266569522
FBgn0034407 DptB 7.47356679814492 0.000164218089188558
FBgn0034511 GNBP-like3 5.31574800063613 0.00183714835177805
FBgn0034512 CG18067 3.21275895706149 0.0037882434843716
FBgn0034870 CG13559 3.42356022538278 0.00307332001227124
FBgn0034880 ItgaPS5 2.10312587933588 0.0184083609601548
FBgn0037515 Sp7 1.29613702005213 0.00691116405982212
FBgn0038214 CG9616 1.47401072889933 0.025790464573539
FBgn0038299 Spn88Eb 3.14681566555608 0.000477790266079015
FBgn0038838 TotB 7.84596765771874 0.00307332001227124
FBgn0039593 Sid 2.47723998412995 0.0184083609601548
FBgn0039798 CG11313 1.83337079812619 0.00668892730681323
FBgn0040104 lectin-24A 4.10739003474719 3.86510434500269e-05
FBgn0040736 NA 5.82572278136314 0.00180922343963905
FBgn0041182 Tep2 1.71432731469008 0.00183714835177805
FBgn0041183 Tep1 5.34983387835034 1.02171520416122e-05
FBgn0041579 AttC 6.86523076717209 0.00140476020890137
FBgn0041581 AttB 4.298243562203 0.0184083609601548
FBgn0043578 PGRP-SB1 3.41990660085651 0.0121497745495777
FBgn0044809 TotZ 5.26525200286457 0.0128625635060771
FBgn0044812 TotC 8.98201889172723 1.27889954875242e-06
FBgn0050091 CG30091 4.7588591935224 0.000247633102759396
FBgn0050414 CG30414 2.32219831327126 0.00183714835177805
FBgn0052185 edin 5.31449965711086 0.00349696537228437
FBgn0053459 CG33459 3.3773699201339 3.86510434500269e-05
FBgn0053460 CG33460 2.3817402660806 0.0138232914151897
FBgn0053461 CG33461 2.47651851838244 0.00562058555518204
FBgn0053462 CG33462 7.21413153156366 1.27889954875242e-06
FBgn0067905 IM14 4.54977722820463 0.00343755530746375
FBgn0069056 CG33226 2.94940311508301 0.00307332001227124
FBgn0085465 CG34436 4.429767893987 0.000302527868307261
FBgn0262531 CG43085 4.67330948141146 9.26869114470976e-06
FBgn0262587 NA 3.25029990018914 0.0153294936433083
FBgn0262588 NA 2.54296302397932 0.015444823252733
FBgn0262607 NA 4.09996102445879 0.000880758866655715
FBgn0262683 CG43153 4.31390568769511 0.000283809039866589
FBgn0262794 NA 4.20794266165719 8.2616816436498e-08
FBgn0262808 CG43179 3.16908224752963 0.000163795310247045
FBgn0264776 CG44014 1.92854215379879 0.042089036344052
FBgn0265668 CG44475 8.58422023483663 1.27889954875242e-06
