FBgn_mel CG logFC FDR
FBgn0003888 betaTub60D 1.96847474777627 0.00903432689799316
FBgn0028396 TotA 4.31206679064116 0.0173342245756063
FBgn0030880 CG6788 4.684752713181 0.00409176865363179
FBgn0031470 CG18557 2.87221997324881 0.00548149342506368
FBgn0031471 CG3117 3.59818246124376 0.00548149342506368
FBgn0032638 SPH93 3.87661268478313 0.0330943668623429
FBgn0033367 PPO2 -2.49486621156248 0.00903432689799316
FBgn0034005 ItgaPS4 4.17665370363645 0.00664541448175619
FBgn0037386 CG1208 2.55177848804356 0.00409176865363179
FBgn0037396 CG11459 6.67621486407427 0.0144728750967471
FBgn0037477 CG14610 3.72890828537692 0.00409176865363179
FBgn0039759 CG9733 2.60936207361478 0.00409176865363179
FBgn0039798 CG11313 4.3710559083408 0.00409176865363179
FBgn0040582 CG5791 3.35582077696323 0.0305780057178111
FBgn0041183 Tep1 2.92494998684412 0.00202943213219466
FBgn0044812 TotC 4.4292216699472 0.00202943213219466
FBgn0053225 CG33225 3.51313102884089 0.00664541448175619
FBgn0053462 CG33462 5.38471851824428 0.00202943213219466
FBgn0261362 NA -2.92752884863462 0.0198948402486313
FBgn0261363 PPO3 4.13630018284342 0.000555666754087432
FBgn0262531 CG43085 2.82854776168903 0.0183612128413965
FBgn0262588 NA 2.11170401376554 0.0433505048390909
FBgn0262607 NA 4.46258544823523 0.00311317472277247
FBgn0262808 CG43179 2.20940376897274 0.0100402890504547
