FB CG logFC FDR
FBgn0165099 CG6295 -4.51315111256312 0.00704918396740026
FBgn0165310 TwdlT -4.41715298391386 0.0271331494993696
FBgn0165584 CG2663 -4.56053700170142 0.00734544205651624
FBgn0165821 Osi14 -5.05093537375972 0.00227996843673543
FBgn0166721 CG30427 -5.34662017326554 0.00198731640942984
FBgn0167534 CG4666 -3.37719113964188 0.0387571693618081
FBgn0168244 CG8568 -4.67297397775453 0.0119236328487475
FBgn0168394 TwdlY -7.12215087528909 0.000161591076900439
FBgn0168977 ImpE2 -5.32572611388708 0.00245164446172585
FBgn0169682 Lcp65Ab2 3.58546839374097 0.0335530342370244
FBgn0169817 CG43333 -5.33212793127359 0.00198731640942984
FBgn0169960 CG16886 -4.91924676887752 0.0303388672797161
FBgn0170157 CG5873 -4.15075036829125 0.00678810391136757
FBgn0170302 CG17475 -3.68337183757621 0.0335530342370244
FBgn0171344 nyo -3.42343685208661 0.0456169178111728
FBgn0171392 Ptr -3.71509697968408 0.0311610410142018
FBgn0172236 amd -4.19712035207148 0.0135803372329249
FBgn0173889 CG11409 -4.93662197939233 0.00554140039342637
FBgn0174814 CG5756 -3.9256082785469 0.0188898465680721
FBgn0174915 CG15615 -4.46563064329881 0.0188898465680721
FBgn0175020 CG12964 -5.56536625375587 0.00108996444652047
FBgn0175170 CG4734 -4.30522841657062 0.00198731640942984
FBgn0175522 CG8170 -4.50450140164535 0.0082811918393556
FBgn0175941 PGRP-SC1b -3.43054061992478 0.0309988446527846
FBgn0176605 CG5550 -2.90308540816967 0.0387571693618081
FBgn0176795 CG15080 -3.94199644802682 0.0265459548287272
FBgn0177110 CG7290 -3.63778252480216 0.0197821141244646
FBgn0177808 CG7406 -8.75239528056439 0.000464307382943871
FBgn0179100 NA 3.70723809803431 0.0219884311570101
FBgn0179679 ect -4.71556129495872 0.00578071958404359
FBgn0179743 Hsp26 4.8734148366948 0.00329422917351152
FBgn0179911 ImpE1 -5.46278152361689 0.00191882167141281
FBgn0179938 Cpr66D -5.05615258549672 0.00329422917351152
FBgn0180001 Hsp22 4.40497659794282 0.00108996444652047
FBgn0180250 CG17672 -4.22320328197887 0.0188898465680721
FBgn0180858 NA 7.2184273497938 8.37736946622364e-05
