"FB" "CG" "logFC" "FDR"
"1" "FBgn0064367" "CG4716" 4.0854414446608 4.3758473897545e-06
"2" "FBgn0067495" "nec" 2.78557872194753 0.00334915791971289
"3" "FBgn0067509" "Tep1" 6.25587669259411 1.42768753454576e-08
"4" "FBgn0068648" "PGRP-SB1" 4.2866628078034 2.0712012678473e-05
"5" "FBgn0083464" "Aph-4" 2.73972335547871 0.014032396958095
"6" "FBgn0182214" "Tsp42Ec" 2.69933434563172 0.011988841204921
"7" "FBgn0182647" "CG13157" -3.40672091199602 0.00125225138744794
"8" "FBgn0182720" "CG10799" 4.11369003919486 2.94687174924284e-07
"9" "FBgn0183112" "IM2" 6.63599793453925 5.21531430836314e-08
"10" "FBgn0183116" "CG16836" 7.3603992962314 1.87948672103089e-13
"11" "FBgn0183262" "CG18067" 3.22576988572299 0.000396173154739687
"12" "FBgn0183633" "CG3880" -2.95546461252015 0.00226790558526819
"13" "FBgn0183949" "CG7298" 3.68886660492516 0.00372882821689568
"14" "FBgn0183957" "obst-J" 2.49340715556525 0.0421485714865712
"15" "FBgn0184122" "CG43085" 6.99817743325333 2.97823665620767e-15
"16" "FBgn0184771" NA -5.50116855382848 6.46893074893974e-07
"17" "FBgn0185690" "CG8628" 2.71565721879173 0.014032396958095
"18" "FBgn0185694" "CG8620" 2.57308201542307 0.0121425474978533
"19" "FBgn0186126" "SNCF" -8.96818151018657 7.76917298312306e-11
"20" "FBgn0186274" "CG13075" 3.566913146933 0.001605965995105
"21" "FBgn0187058" "sha" -4.11388118538092 2.43763883044883e-06
"22" "FBgn0187651" "C901" -2.72983378631889 0.00401268782278445
"23" "FBgn0188658" "CG3775" 2.72137527353373 0.0149453649696032
"24" "FBgn0189459" "CG11619" -2.61434539679948 0.0268963105740301
"25" "FBgn0189752" "CG10513" 2.51130130782582 0.0177695600855705
"26" "FBgn0190637" "CG31268" -3.89732846456403 0.00184491886776499
"27" "FBgn0190882" "TotA" 5.32186950408817 1.04522856217432e-07
"28" "FBgn0190884" "TotA" 10.5706796617771 9.89190080182358e-16
"29" "FBgn0191341" "Osi12" -2.83696336879574 0.0240186513558656
"30" "FBgn0191505" "TotX" 7.37971133768897 1.48807220892264e-11
"31" "FBgn0191850" "Spn88Eb" 4.02204893144162 1.73579955954755e-05
"32" "FBgn0192352" "CG31343" 3.86160306913133 0.00350539275743935
"33" "FBgn0192353" "CG31233" 3.17894858185129 0.00738204117541144
"34" "FBgn0192354" "CG31198" 3.17223498394772 0.0078649607525992
"35" "FBgn0192480" "SPE" 2.94449387238631 0.00132394350223415
"36" "FBgn0192823" "CG14526" 2.86321377307655 0.00634560548252729
"37" "FBgn0194130" "CG3604" 2.46818911513602 0.0131559372171258
"38" "FBgn0194284" "CG31664" 3.09935627121084 0.00125225138744794
"39" "FBgn0194489" "CG33128" 2.72470235258498 0.0177695600855705
"40" "FBgn0194720" "vri" -3.29770932307988 0.0421131850005059
"41" "FBgn0195377" "CG4793" 5.22897864791989 2.07730399669795e-08
"42" "FBgn0195387" "CG4793" 5.4307339278113 9.25882962461881e-10
"43" "FBgn0196061" "CG14421" -3.90982525961637 0.0323729127508135
"44" "FBgn0196367" NA 3.55095393902122 0.000797333759600651
"45" "FBgn0196500" "CG30283" 4.21718582239798 1.40290369194471e-07
"46" "FBgn0196767" NA 2.5651024501003 0.0276532269859207
"47" "FBgn0197053" "CG4714" -3.71812770072447 0.0421485714865712
"48" "FBgn0197080" "Mdr49" 2.25467976348288 0.0323729127508135
"49" "FBgn0197188" "zetaTry" 3.46953157907617 0.000883730062327569
"50" "FBgn0197208" "Cpr47Ed" -3.00883781896206 0.0234848686024417
"51" "FBgn0262092" "CG11459" 7.01288096028463 2.82096000047733e-12
"52" "FBgn0268391" NA 4.40996517172597 6.47005129723587e-07
"53" "FBgn0268903" NA -2.87139338837736 0.0430531291751554
"54" "FBgn0268952" NA 2.25234890494418 0.029090841080766
"55" "FBgn0269559" NA 2.59508577459538 0.0037261081344605
"56" "FBgn0270187" NA 3.11428994677521 0.00372882821689568
"57" "FBgn0270336" NA 6.19994548282545 9.25882962461881e-10
"58" "FBgn0270355" NA -5.56042069875888 2.57803620647821e-05
"59" "FBgn0270507" NA 3.21256714097361 0.00306939206254536
"60" "FBgn0270704" NA -3.62606205136185 0.000503302525080611
"61" "FBgn0270820" NA -3.44253876785134 0.000468347358161763
