FB CG logFC FDR
FBgn0022481 Hsp70Aa 4.23018331434353 0.00240523662692694
FBgn0022482 Hsp70Aa 4.60257180003434 0.000389644458643274
FBgn0042853 Hsp70Aa 5.20954523285305 0.000145869367850604
FBgn0042854 Hsp70Aa 4.3741290602468 0.000559579486044097
FBgn0182862 ItgaPS4 2.9465721292954 0.00934124077312103
FBgn0186253 CG13445 -3.03548491190229 0.00684082215500644
FBgn0191318 CG1208 2.62000166906844 0.0265565690792907
FBgn0191544 MtnB 2.63906997724432 0.00732942938813209
FBgn0191582 CG6300 2.68040643730384 0.00934124077312103
FBgn0196907 CG8160 3.13127405892744 0.0389112397213993
