FBgn_mel CG logFC FDR
FBgn0032638 SPH93 6.18361748397002 0.00161364531820593
FBgn0028396 TotA 9.23231069813328 0.0193267650145171
FBgn0041183 Tep1 5.60953628028946 0.0655562402091323
FBgn0033821 CG10799 3.944190375471 0.0809723447368685
FBgn0041579 AttC 4.85217836017106 0.0809723447368685
FBgn0012042 AttA 4.77000074218979 0.0809723447368685
FBgn0014865 Mtk 7.33169878719758 0.00470731891995183
FBgn0034407 DptB 7.25341183872818 0.0655562402091323
FBgn0043578 PGRP-SB1 3.27713325961499 0.0809723447368685
FBgn0001216 Hsc70-1 4.92901660869991 0.0936675020774033
FBgn0010381 Drs 4.15463464940253 0.0292512650550806
FBgn0034512 CG18067 3.65050588976388 0.0697787569706698
FBgn0053462 CG33462 6.11777494658337 0.0869213503040456
