"FBgn_mel" "CG" "logFC" "FDR"
"1" "FBgn0012042" "AttA" 3.66732553371179 0.0173311503390817
"2" "FBgn0014865" "Mtk" 5.4973940083255 0.0028172843473968
"3" "FBgn0034407" "DptB" 5.15541677332042 0.012284146118987
"4" "FBgn0034512" "CG18067" 3.68647333822149 0.012284146118987
"5" "FBgn0043578" "PGRP-SB1" 2.85830038229931 0.012284146118987
"6" "FBgn0001216" "Hsc70-1" 3.40962307032155 0.0306258690634783
"11" "FBgn0041183" "Tep1" 4.3097915284259 0.0523970880351974
"41" "FBgn0053462" "CG33462" 6.11777494658337 0.0853705460745626
"9" "FBgn0010381" "Drs" 4.15463464940253 0.0292512650550806
"10" "FBgn0032638" "SPH93" 2.75978500834494 0.0121386650984075
"111" "FBgn0041579" "AttC" 4.86710307566804 0.0121386650984075
"31" "FBgn0033821" "CG10799" 3.944190375471 0.0795622092461345
"8" "FBgn0028396" "TotA" 7.25992118040768 0.00470731891995183
