FB CG logFC FDR
FBgn0068371 CG18067 6.85979946633803 8.15482943402711e-09
FBgn0068438 CG13360 -5.06781139266114 0.00101053740553384
FBgn0228112 CG31198 4.63254100225133 0.0169013509773393
FBgn0231125 NA 4.48185064500744 0.0441931862891705
FBgn0231267 AttA 11.3906066963952 1.60096931426518e-09
FBgn0231357 NA 5.1484462449583 0.000280823323454692
FBgn0231559 IM23 6.30392431989918 3.1169522478589e-05
FBgn0234500 Lsp1alpha -5.5620999528182 0.0312347464439645
FBgn0234688 Lsp1beta -7.50357852460768 0.00079106715226446
FBgn0236556 Lcp3 -5.15569784126494 0.0441931862891705
FBgn0236594 NA 7.17299614813504 4.91787011571544e-07
FBgn0238332 Lsp1gamma -7.34583556724721 0.000634976948108638
FBgn0240103 CG8736 -4.7520941384414 0.00827883885274523
FBgn0240246 Lcp1 -7.29561099520371 0.000307477820013932
FBgn0241625 NA 3.94370741052522 0.00353712981840761
FBgn0242223 CG15293 3.4504673011737 0.0306362614494818
FBgn0243290 CG8773 3.61838462084374 0.0441931862891705
